"source_id","canonical_agency_id","agency_name","source_address","source_city","latitude","longitude","target_path","target_id","distance_to_target_boundary_m","decision","evidence_url","cache_command_id"
"173101","cm7a0bgo5003xewvgtmpdnogt","GLASSCOCK CO. CONST. PCT. 1","651 CR 155","GARDEN CITY","31.715024862219","-101.583719775872","/tx/glasscock-county/garden-city/","cy7v86rbhm349ey6432rcb3j","17875.4","Larger-distance postal assignment. County appraisal roll confirms 651 CR 155, Garden City; retain source point in Glasscock County.","https://www.glasscockcad.com/Forms/GetDocument?fileName=1752946816_2025+Glasscock+CAD+Certified+Appraisal+Roll+-+Real-Personal+-+Alpha+-+20250709_174034.pdf&subPath=Data+Records","h0fzaqtv0uh0plqvrmec2tmi"
"181006","cm7a0bgo5005newvg3qaouyog","GRAYSON CO. COLLEGE POLICE DEPARTMENT","6101 GRAYSON DR","DENISON","33.705243377932","-96.636172038873","/tx/grayson-county/denison/","c2cafxjhzx36i3bkukx5ipo9","846.2","Listed city, same county, within 10 km.","","j8y9ul86fqydzj54ge0ei008"
"183205","cm7a0bgo60096ewvgt4v659uk","LAKEPORT POLICE DEPT.","207 Milam Road","LONGVIEW","32.411749187775","-94.701550033232","/tx/gregg-county/lakeport/","oiba45q3j5l025mvgdyke6cn","15.2","Use agency city Lakeport rather than Longview mailing city.","https://www.discoverpolicing.org/agency/lakeport-police-department/","p8emsiueky2uc772puy932l6"
"187104","cm7a0bgo600akewvgqzumwfef","GUADALUPE CO. CONST. PCT. 4","11144 FM 725","SEGUIN","29.571214465413","-98.038339492226","/tx/guadalupe-county/seguin/","c3a6zska58yy5ptz17qfyi47","6.4","Listed city in point county, within 10 km of its imported boundary.","","eaqa0r4mb8ttexkorg5ezjl9"
"197103","cm7a0bgo700d9ewvg8wem01qz","HARDEMAN CO. CONST. PCT. 3","900 Harry St","Quanah","34.290205532913","-99.727812554327","/tx/hardeman-county/quanah/","chae8vrv0g70jnaf17u6zot9","6.8","Listed city in point county, within 10 km of its imported boundary.","","a4wphfhl6xhm6hi33iz1lu0t"
"199901","cm7a0bgo700ejewvg3d3b1k9r","Silsbee ISD Police Department","1575 Hwy 96 South","Silsbee","30.329577777357","-94.186099916118","/tx/hardin-county/silsbee/","cuyv0th4ny57gnowphm4tcvk","6.6","Listed city in point county, within 10 km of its imported boundary.","","vp53p8yvz7icnb785exuygv2"
"201104","cm7a0bgo700g1ewvg7tcl2yt7","HARRIS CO. CONST. PCT. 4","6831 CYPRESSWOOD DR.","SPRING","30.013704045457","-95.509632324445","/tx/harris-county/spring/","cfkdb7mp3xy0xavinsg7bjri","8188.5","Listed city in point county, within 10 km of its imported boundary.","","ixnkzqh1q5qm3ounln1ygc8i"
"201207","cm7a0bgo700h7ewvgu61v0ctv","CYPRESS - FAIRBANKS ISD Police Department","11200 TELGE RD","CYPRESS","29.940305590818","-95.649141613626","/tx/harris-county/cypress/","c9l7ykyzrt0b3g60yo0lbcpp","","Existing manual community in point county; no polygon.","","bcsunw05x8jckpal7skaakv0"
"201902","cm7a0bgo800k7ewvg40tjy8zb","ALDINE ISD POLICE DEPARTMENT","9999 VETERANS MEMORIAL DR","HOUSTON","29.910938267305","-95.439404000677","/tx/harris-county/houston/","cnmbt1oikb4y48bq1choxo1o","9.0","Listed city in point county, within 10 km of its imported boundary.","","f1jej1drbjma8h1f65dzjvmn"
"201914","cm7a0bgo800kmewvg6bq1izrv","KATY ISD POLICE DEPARTMENT","20370 FRANZ RD","KATY","29.801797102789","-95.741077690012","/tx/waller-county/katy/","hfjaq1m05i3uijyta1hqvlhw","5902.3","Point in Harris County; Katy geometry intersects Harris County although canonical parent is Waller. Explicit nearby postal assignment.","","qgl6vrifw0xb3qw2winmptmv"
"201934","cm7a0bgo800kvewvgfq37i2aw","KLEIN ISD Police Department","7407 LOUETTA RD","SPRING","30.020173143946","-95.524883084745","/tx/harris-county/spring/","cfkdb7mp3xy0xavinsg7bjri","9445.1","Listed city in point county, within 10 km of its imported boundary.","","t9cy8pufy5gtlxmgaogugq50"
"203102","cm7a0bgo800ljewvguxtbp8dd","HARRISON CO. CONST. PCT. 2","1676 Marshall Leigh Rd.","MARSHALL","32.568629124578","-94.260133139849","/tx/harrison-county/marshall/","c84xqjkdfw6rvz8l8wmy19mp","1911.4","Listed city in point county, within 10 km of its imported boundary.","","fe2va855hvbn9tgmlf0qmwtv"
"213210","cm7a0bgo900pbewvgbwbvjxdj","SEVEN POINTS POLICE DEPARTMENT","428 E. Cedar Creek Pkwy, P.O. Box 43233","SEVEN POINTS","32.320686073387","-96.221734451686","/tx/henderson-county/seven-points/","cpnn6rgo0v11a9hscdodqx9k","6.6","Listed city in point county, within 10 km of its imported boundary.","","gkh9snys2007brf65qj00inv"
"213905","cm7a0bgo900qdewvg7b41od9e","LaPoynor ISD Police Department","13155 HWY 175 E.","LaRue","32.096122141609","-95.639818188704","/tx/henderson-county/larue/","ceiyvygvkxovcm14yhiahtn8","","Existing manual community in point county; no polygon.","","k41q2xtw2gu29q2ck4pm7yb5"
"217101","cm7a0bgo900ujewvgsd9lcvg0","HILL CO. CONST. PCT. 1","5800 FM 933","Whitney","32.048829260705","-97.363290431991","/tx/hill-county/whitney/","cs68bqko7pj9da8jdhnd0jjf","9529.9","Listed city in point county, within 10 km of its imported boundary.","","isd7vhxtgsawqd2dicbmrlsg"
"217901","cm7a0bgoa00vaewvgvpqyikjk","MOUNT CALM ISD POLICE DEPARTMENT","200 N COATES E","MOUNT CALM","31.763007559132","-96.880192617939","/tx/hill-county/mount-calm/","cqeaq30u19ccpd5aboybnd39","6.1","Listed city in point county, within 10 km of its imported boundary.","","tdhebdk20fz6605r6g7ydygp"
"221103","cm7a0bgoa00wuewvggecu779h","Hood County Constable Pct.3","5417 Acton Hwy., Suite 126","Granbury","32.446217954851","-97.696368990945","/tx/hood-county/granbury/","c11k6pi1ey000id1lwg2c08a","260.7","Listed city in point county, within 10 km of its imported boundary.","","mi10t6t6l85a1irxcslu8s2g"
"223902","cm7a0bgoa00y5ewvgq94ai6lf","COMO-PICKTON CISD POLICE","13017 E TEXAS HIGHWAY 11","COMO","33.035424312297","-95.431784782967","/tx/hopkins-county/como/","cameuww7s6o2pd8us78gfq8g","3614.0","Listed city in point county, within 10 km of its imported boundary.","","s5f5qe5hu2ntz0zekpex3trf"
"223904","cm7a0bgoa00ybewvgh649moei","Miller Grove ISD Police Department","7819 FM 275 South","Cumby","33.021682172276","-95.802254502381","/tx/hopkins-county/miller-grove/","hnb9zc6m18zgm5i9mrvsyqhj","","New verified manual community; school address and county confirmed.","https://www.mgisd.net/contact/","jh41xojbd4c5uaso2qfz77nc"
